Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2079211,GSE70245,SAMN03792414,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079212,GSE70245,SAMN03792419,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079213,GSE70245,SAMN03792362,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079214,GSE70245,SAMN03792363,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079215,GSE70245,SAMN03792364,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079216,GSE70245,SAMN03792365,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079217,GSE70245,SAMN03792366,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079218,GSE70245,SAMN03792415,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079219,GSE70245,SAMN03792416,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079220,GSE70245,SAMN03792417,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079221,GSE70245,SAMN03792418,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079222,GSE70245,SAMN03792367,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
